ASN,ORGANIZATION
1,level 3 communications inc.
2,university of delaware
2.1,asia netcom
2.101,sri lanka telecom adsl as
2.102,vivid solutions isp auckland
2.103,pia
2.104,tertiary education commission new zealand
2.105,accenture - navitaire
2.15,ksc commercial internet co. ltd.
2.16,western australian internet association
2.17,cat telecom public company ltd cat
2.18,cat telecom public company ltd cat
2.19,nitc it agency of government of nepal
2.2,apnic rd centre jp
2.3,4 byte as
2.31,global transit communications - malaysia
2.32,global transit communications - malaysia
2.33,409 dominion road
2.34,as for datahotel which is one of idc in japan
2.35,4-byte as number for apnic training team
2.36,telecom fiji ltd.
2.37,vocus pty ltd
2.38,slush technologies as v6 transit
2.4,apnic experimental allocation for testing 32-bit asn
2.42,indonesia network information center
2.44,pt. core mediatech
2.45,mpls network provider
2.46,network access provider
2.47,internet service provider
2.49,globe telecom inc.
2.5,vietnam internet network information center
2.51,vietnam internet network information center
2.52,viettel telecom
2.9,internet service provider in thailand
2.91,internet thailand public company limited
2.92,61 ming chuan road section 1
2.93,1 claymore drive
2.94,level 37 menara tm
2.95,select broadband ip network
2.96,96-98 anzac avenue
2.97,newera online
2.98,plot no 1 hill no 3
3,massachusetts institute of technology
3.1,www.openbgpd.org
3.104,centroset ltd.
3.105,home telecom ltd.
3.107,content-provider first alternative cjsc
3.108,salomaa yhtiot oy
3.109,telecompany viza-2 cjsc.
3.11,comlaunch international autonomous system
3.12,init seven ag
3.13,matthias cramer
3.14,warid telecom georgia ltd
3.15,heanet
3.16,blank-clan home of blank-tv
3.17,hochschule esslingen
3.18,sc hol.ro srl
3.19,koehler datentechnik gmbh
3.2,cemex espana s.a.
3.21,td magnit llc
3.22,world premium rates s.a.
3.23,inetpeople gmbh
3.24,joint-stock bank pivdennyi
3.25,netsize
3.26,inectel ltd.
3.27,universitatea romano-americana
3.28,sc sk net srl
3.29,globalwire ab autonomous system
3.3,jsc promtelecom
3.31,sia natali k
3.33,federal unitary state enterprise general radio freqency centre
3.34,global consulting ltd.
3.35,netinternet bilgisayar ve telekomunikasyon san. ve tic. ltd. sti.
3.36,sc eurocable srl
3.38,sc autonet import srl
3.39,customs payment system ltd.
3.4,yakutsk state university n.a.m.k.ammosov state educational organization of higher pr
3.41,tomak techniczna obsluga maszyn i komputerow michal
3.42,telesmart telekom doo
3.43,institute of mathematics and computer science of university of latvia
3.44,system s.r.l.
3.45,tskb a.s.
