COUNTRY,REGION,REGION-DESC,REGION-CODE
***,***,reserved/private,5383
***,?,reserved/private/anon,23878
?,?,unknown,0
abw,?,aruba,572
abw,no region,aruba,5385
afg,?,afghanistan,786
afg,no region,afghanistan,23867
ago,?,angola,13703
ago,no region,angola,5386
aia,?,anguilla,371
aia,no region,anguilla,5387
ala,?,?,24307
ala,no region,aland islands,24310
alb,?,albania,378
alb,no region,albania,5388
and,?,andorra,521
and,no region,andorra,5389
ant,?,netherlands antilles,362
ant,no region,netherlands antilles,5390
are,?,united arab emirates,356
are,no region,united arab emirates,11566
arg,?,argentina,179
arg,a,salta,9787
arg,aol,aol,23817
arg,b,buenos aires,9788
arg,c,capital federal,12283
arg,d,san luis,23873
arg,e,entre rios,9812
arg,f,la rioja,12284
arg,g,santiago del estero,23871
arg,h,chaco,9815
arg,j,san juan,9817
arg,k,catamarca,9818
arg,l,la pampa,12663
arg,m,mendoza,9819
arg,n,misiones,15823
arg,p,formosa,23872
arg,q,neuquen,9820
arg,r,rio negro,9822
arg,s,santa fe,9826
arg,t,tucuman,9832
arg,u,chubut,9834
arg,v,tierra del fuego,9836
arg,w,corrientes,9838
arg,x,cordoba,9839
arg,y,jujuy,9844
arg,z,santa cruz,15899
arm,?,armenia,237
arm,no region,armenia,11570
asi,?,asia (unknown country),4242
asm,?,american samoa,230
asm,no region,american samoa,11571
ata,?,antarctica,15824
ata,no region,antarctica,5415
atf,?,french southern territories,5040
atg,?,antigua and barbuda,566
atg,no region,antigua and barbuda,5416
aus,?,australia,203
aus,aol,aol,5417
aus,ct,australian capital territory,809
aus,ns,new south wales,688
aus,nt,northern territory,714
aus,ql,queensland,694
aus,sa,south australia,689
aus,ts,tasmania,603
aus,vi,victoria,602
aus,wa,western australia,703
aut,1,burgenland,11578
aut,2,karnten,11582
aut,3,niederosterreich,11585
aut,4,oberosterreich,11573
aut,5,salzburg,11574
aut,6,steiermark,11576
aut,7,tirol,11581
aut,8,vorarlberg,11577
aut,9,wien,11587
aut,?,austria,73
aze,?,azerbaijan,215
aze,no region,azerbaijan,5549
bdi,?,burundi,23766
bdi,no region,burundi,23868
bel,?,belgium,219
bel,brx,brussels,12292
bel,van,antwerpen,11057
bel,vbr,vlaams brabant,14480
bel,vli,limburg,11071
bel,vov,oost-vlaanderen,11054
bel,vwv,west-vlaanderen,11058
bel,wbr,brabant wallon,11081
bel,wht,hainaut,11062
bel,wlg,liege,11056
bel,wlx,luxembourg,11060
bel,wna,namur,11073
ben,?,benin,2424
ben,no region,benin,11591
bes,?,bonaire/sint eustatius/saba,25130
bes,no region,bonaire/sint eustatius/saba,25129
bfa,?,burkina faso,577
bfa,no region,burkina faso,11592
bgd,?,bangladesh,2704
bgd,no region,bangladesh,11593
bgr,01,sofija-grad,11602
bgr,02,burgas,15826
bgr,03,varna,11595
bgr,04,lovec,11596
bgr,05,montana,15830
bgr,06,plovdiv,11599
bgr,07,ruse,11600
bgr,08,sofija,15832
bgr,09,haskovo,11597
bgr,?,bulgaria,216
bhr,?,bahrain,504
bhr,no region,bahrain,11605
bhs,?,bahamas,14319
bhs,bi,bimini,24925
bhs,fp,freeport,11606
bhs,gh,governor's harbour,24926
bhs,hi,harbour island,24924
bhs,mh,marsh harbour,24923
bhs,np,new providence,11607
bih,?,bosnia and herzegowina,355
bih,bih,federacija bosna i hercegovina,6108
bih,srp,republika srpska,11608
blm,?,saint barthelemy,25126
blm,no region,saint barthelemy,25125
blr,?,belarus,290
blr,no region,belarus,11609
blz,?,belize,801
blz,no region,belize,6114
bmu,?,bermuda,357
bmu,no region,bermuda,6116
bol,?,bolivia,177
bol,b,el beni,24927
bol,c,cochabamba,11610
bol,h,chuquisaca,24928
bol,l,la paz,11611
bol,n,pando,24931
bol,o,oruro,24930
bol,p,potosi,24929
bol,s,santa cruz,11612
bol,t,tarija,23960
bra,?,brazil,465
bra,ac,acre,23779
bra,al,alagoas,10118
bra,am,amazonas,10119
bra,aol,aol,23774
bra,ap,amapa,23778
bra,ba,bahia,10120
bra,ce,ceara,10121
bra,df,distrito federal,10122
bra,es,espirito santo,10123
bra,go,goias,10124
bra,ma,maranhao,10125
bra,mg,minas gerais,3985
bra,ms,mato grosso do sul,23756
bra,mt,mato grosso,10129
bra,pa,para,10130
bra,pb,paraiba,4980
bra,pe,pernambuco,10131
bra,pi,piaui,12888
bra,pr,parana,2970
bra,rj,rio de janeiro,3971
bra,rn,rio grande do norte,10136
bra,ro,rondonia,23780
bra,rr,roraima,23782
bra,rs,rio grande do sul,10137
bra,sc,santa catarina,15904
bra,se,sergipe,23777
bra,sp,sao paulo,726
bra,to,tocantins,23781
brb,?,barbados,567
brb,no region,barbados,6146
brn,?,brunei darussalam,485
brn,no region,brunei darussalam,11614
btn,?,bhutan,491
btn,no region,bhutan,11616
bvt,?,bouvet island,23752
bvt,no region,bouvet island,6151
bwa,?,botswana,495
bwa,no region,botswana,11617
caf,?,central african republic,2621
caf,no region,central african republic,6153
can,?,canada,74
can,ab,alberta,55
can,aol,aol,23773
can,bc,british columbia,56
can,mb,manitoba,57
can,nb,new brunswick,58
can,nl,newfoundland and labrador,59
can,ns,nova scotia,62
can,nt,northwest territories,61
can,nu,nunavut,60
can,on,ontario,63
can,pe,prince edward island,64
can,qc,quebec,65
can,sk,saskatchewan,66
can,yt,yukon territory,67
cck,?,cocos (keeling) islands,186
che,?,switzerland,81
che,ag,aargau,10151
che,ai,appenzell inner-rhoden,10157
che,ar,appenzell ausser-rhoden,10158
che,be,bern,10159
che,bl,basel-landschaft,10162
che,bs,basel-stadt,10163
che,fr,fribourg,10164
che,ge,geneve,10165
che,gl,glarus,10168
che,gr,graubunden,10169
che,ju,jura,19579
che,lu,luzern,10170
che,ne,neuchatel,10173
che,nw,nidwalden,14642
che,ow,obwalden,15933
che,sg,sankt gallen,3761
che,sh,schaffhausen,10176
che,so,solothurn,10177
che,sz,schwyz,19667
che,tg,thurgau,10178
che,ti,ticino,10180
che,ur,uri,15948
che,vd,vaud,10181
che,vs,valais,15836
che,zg,zug,10187
che,zh,zurich,10188
chl,?,chile,373
chl,ai,aisen del gen ibanez del camp,24959
chl,an,antofagasta,14343
chl,ar,araucania,11632
chl,at,atacama,24816
chl,bi,bio-bio,11619
chl,co,coquimbo,11622
chl,li,libertador gen b o'higgins,12353
chl,ll,los lagos,11625
chl,ma,magallanes,11627
chl,ml,maule,11620
chl,rm,region metro de santiago,2998
chl,ta,tarapaca,11621
chl,vs,valparaiso,11623
chn,11,beijing,10664
chn,12,tianjin,10666
chn,13,hebei,10667
chn,14,shanxi,10673
chn,15,nei mongol zizhiqu,15967
chn,21,liaoning,10680
chn,22,jilin,10687
chn,23,heilongjiang,10692
chn,31,shanghai,10698
chn,32,jiangsu,10699
chn,33,zhejiang,10705
chn,34,anhui,10712
chn,35,fujian,10717
chn,36,jiangxi,10724
chn,37,shandong,10729
chn,41,henan,10741
chn,42,hubei,10753
chn,43,hunan,10762
chn,44,guangdong,10770
chn,45,guangxi,10784
chn,46,hainan,10788
chn,50,chongqing,10789
chn,51,sichuan,10790
chn,52,guizhou,12391
chn,53,yunnan,10794
chn,54,xizang,10796
chn,61,shaanxi,10797
chn,62,gansu,10801
